id,prd_name,price
1,"Fish - Halibut, Cold Smoked",73.31
2,"Tomatoes - Diced, Canned",79.55
3,Bread Fig And Almond,9.39
4,Shiro Miso,42.31
5,Carbonated Water - Wildberry,22.14
6,Tea - Vanilla Chai,37.93
7,Wine - Beaujolais Villages,26.09
8,Wine - Rosso Del Veronese Igt,56.78
9,"Yogurt - Cherry, 175 Gr",29.22
10,"Croissant, Raw - Mini",67.87
11,Cup Translucent 9 Oz,1.23
12,"Yogurt - Blueberry, 175 Gr",66.71
13,Tea Leaves - Oolong,93.9
14,Soup - Campbells Asian Noodle,65.27
15,"Oil - Olive, Extra Virgin",46.01
16,Mushroom - Crimini,17.03
17,Longos - Grilled Veg Sandwiches,51.82
18,Artichoke - Fresh,21.06
19,Juice - Lime,13.86
20,Cheese - Swiss Sliced,17.89
21,"Bread - Roll, Calabrese",87.55
22,Muffin - Mix - Bran And Maple 15l,40.32
23,Beef - Top Sirloin - Aaa,13.36
24,Juice - Cranberry 284ml,5.28
25,Creamers - 10%,44.86
26,Milk - Chocolate 500ml,59.75
27,Sausage - Liver,17.47
28,Langers - Ruby Red Grapfruit,72.78
29,Parasol Pick Stir Stick,73.34
30,"Ranchero - Primerba, Paste",72.83
31,Lettuce - Escarole,71.24
32,"Wine - Red, Wolf Blass, Yellow",33.35
33,Gelatine Leaves - Bulk,52.23
34,Pie Shells 10,87.13
35,Sugar - Palm,5.68
36,Bar Bran Honey Nut,71.2
37,Scallops - 10/20,39.06
38,"Pepper - Red, Finger Hot",40.28
39,Zucchini - Green,48.79
40,Cabbage Roll,99.59
41,Alize Gold Passion,64.31
42,Wine - Shiraz South Eastern,16.4
43,Pernod,63.36
44,Lentils - Green Le Puy,68.35
45,"Chocolate - Milk, Callets",17.21
46,"Lamb - Pieces, Diced",84.36
47,Huck Towels White,99.85
48,Beets - Golden,92.74
49,Beans - Wax,84.0
50,"Tuna - Canned, Flaked, Light",1.01
51,Muffin - Carrot Individual Wrap,96.91
52,Cheese - Comte,79.62
53,Wine - Alicanca Vinho Verde,72.14
54,"Rice Pilaf, Dry,package",9.03
55,Pastry - Banana Tea Loaf,62.68
56,Emulsifier,55.58
57,Truffle Cups - White Paper,72.12
58,Venison - Racks Frenched,67.51
59,"Sauce - Soya, Light",41.44
60,Sauce - Alfredo,2.83
61,Corn - On The Cob,71.74
62,Puree - Guava,33.77
63,Extract - Lemon,61.41
64,"Cookies - Oreo, 4 Pack",15.28
65,Pastry - Trippleberry Muffin - Mini,72.22
66,Spinach - Packaged,16.21
67,Icecream - Dstk Super Cone,75.21
68,"Salmon - Atlantic, Fresh, Whole",35.67
69,Arctic Char - Fillets,26.59
70,Flounder - Fresh,91.29
71,"Doilies - 8, Paper",90.83
72,Quiche Assorted,4.97
73,Chicken - Whole,8.13
74,Bread - Malt,14.82
75,Chocolate - Sugar Free Semi Choc,13.84
76,Skirt - 29 Foot,75.37
77,Cheese - Swiss,22.51
78,"Doilies - 5, Paper",61.27
79,Grouper - Fresh,33.52
80,Shrimp - Black Tiger 8 - 12,52.51
81,"Pepper - Black, Crushed",2.43
82,Wine - Winzer Krems Gruner,14.85
83,"Salmon - Smoked, Sliced",74.88
84,Horseradish Root,78.4
85,Squid - Tubes / Tenticles 10/20,73.51
86,"Bread - Roll, Calabrese",21.75
87,Turkey Leg With Drum And Thigh,90.14
88,Vinegar - Champagne,91.06
89,Cheese - Goat,92.69
90,"Carrots - Mini, Stem On",98.26
91,"Fish - Artic Char, Cold Smoked",91.43
92,Tea - Camomele,13.16
93,"Veal - Shank, Pieces",35.13
94,Cake - Cake Sheet Macaroon,69.36
95,Cheese Cheddar Processed,80.27
96,Wooden Mop Handle,62.22
97,Bag - Clear 7 Lb,59.42
98,"Lobster - Tail, 3 - 4 Oz",9.48
99,Mushroom - White Button,70.52
100,Liqueur - Melon,22.97
101,Lid Tray - 16in Dome,79.88
102,Ice Cream - Super Sandwich,90.58
103,"Pepper - White, Whole",5.67
104,Wine - Guy Sage Touraine,90.05
105,Wine - Pinot Noir Pond Haddock,24.3
106,Chocolate - Milk,1.66
107,Venison - Striploin,35.12
108,Broom And Broom Rack White,83.35
109,Pie Pecan,24.17
110,Pimento - Canned,12.69
111,Ham - Virginia,21.59
112,Truffle - Peelings,22.14
113,Chinese Foods - Plain Fried Rice,85.13
114,Soup - Campbells Mac N Cheese,98.55
115,Chocolate - Mi - Amere Semi,45.24
116,Lemons,19.49
117,Blue Curacao - Marie Brizard,81.35
118,Oyster - In Shell,54.35
119,Pasta - Agnolotti - Butternut,98.33
120,Wine - Montecillo Rioja Crianza,75.38
121,Tart - Raisin And Pecan,18.09
122,Cocoa Feuilletine,18.24
123,Longos - Chicken Wings,23.29
124,"Vermouth - Sweet, Cinzano",33.85
125,Eggplant Italian,35.44
126,Sour Puss - Tangerine,45.83
127,Syrup - Monin - Blue Curacao,29.36
128,"Veal - Leg, Provimi - 50 Lb Max",93.81
129,Loquat,16.84
130,Apricots - Dried,62.4
131,Lemon Grass,41.23
132,Mahi Mahi,27.64
133,Lentils - Green Le Puy,4.17
134,"Pasta - Orzo, Dry",1.81
135,Beans - Butter Lrg Lima,90.74
136,Truffle Cups - White Paper,50.75
137,Carbonated Water - Cherry,51.68
138,Vector Energy Bar,86.01
139,Miso Paste White,52.69
140,Lobster - Cooked,84.05
141,Bay Leaf,68.96
142,Sprouts - Alfalfa,71.01
143,Flower - Commercial Spider,45.76
144,"Yogurt - Banana, 175 Gr",44.48
145,Carbonated Water - White Grape,48.98
146,Island Oasis - Raspberry,53.82
147,Nantucket - Pomegranate Pear,7.02
148,"Crab - Claws, 26 - 30",84.92
149,Broom - Push,29.64
150,Scallops - 10/20,62.59
151,Flour - Whole Wheat,18.28
152,"Fish - Halibut, Cold Smoked",34.36
153,Walkers Special Old Whiskey,91.37
154,"Yeast - Fresh, Fleischman",57.69
155,Haggis,33.2
156,Mayonnaise,65.53
157,Table Cloth 54x72 White,84.08
158,Veal Inside - Provimi,13.27
159,"Cheese - Woolwich Goat, Log",39.2
160,Wine - Piper Heidsieck Brut,6.64
161,Kellogs Raisan Bran Bars,59.68
162,Beer - Original Organic Lager,73.68
163,Beef - Short Loin,40.3
164,"Crab - Claws, Snow 16 - 24",90.41
165,"Bread - Bagels, Plain",92.72
166,Wine - German Riesling,41.27
167,Cheese - Asiago,52.89
168,"Pasta - Tortellini, Fresh",25.24
169,Onions Granulated,84.71
170,Garlic - Peeled,35.67
171,Pork - Liver,7.58
172,Crab - Meat,78.21
173,Pork - Ham Hocks - Smoked,40.23
174,Yoplait - Strawbrasp Peac,77.47
175,"Brownies - Two Bite, Chocolate",32.64
176,Tumeric,54.95
177,Beef - Montreal Smoked Brisket,15.75
178,Vinegar - Rice,40.54
179,"Veal - Brisket, Provimi, Bone - In",12.27
180,Fennel,62.13
181,Cheese - Oka,23.66
182,Lettuce - Treviso,17.86
183,"Wine - Red, Black Opal Shiraz",67.54
184,Spinach - Packaged,31.21
185,Capicola - Hot,75.52
186,Thyme - Dried,31.74
187,Tray - 12in Rnd Blk,1.28
188,Banana,66.45
189,"Beef - Bones, Cut - Up",20.02
190,"Cheese - Mozzarella, Buffalo",74.87
191,Wine - Fat Bastard Merlot,88.24
192,Dikon,11.02
193,Lid Tray - 16in Dome,90.6
194,Spaghetti Squash,38.33
195,Milk - Condensed,30.29
196,Aspic - Amber,47.9
197,Pork - Backs - Boneless,50.8
198,Tea - Herbal - 6 Asst,40.15
199,Compound - Orange,30.65
200,Cookies - Amaretto,77.49
201,Nescafe - Frothy French Vanilla,73.87
202,Cardamon Ground,58.92
203,Eggplant Oriental,20.28
204,"Pasta - Lasagna Noodle, Frozen",88.82
205,"Olives - Black, Pitted",13.95
206,Oyster - In Shell,87.8
207,Coffee Decaf Colombian,61.68
208,Sage - Ground,76.88
209,Yukon Jack,83.63
210,"Pasta - Fettuccine, Dry",75.89
211,Taro Leaves,18.16
212,Sobe - Orange Carrot,41.23
213,Wine - Pinot Noir Latour,60.67
214,Cheese - Grana Padano,9.3
215,Spinach - Baby,33.59
216,Eggplant - Regular,26.58
217,Aromat Spice / Seasoning,14.49
218,Clam - Cherrystone,19.16
219,"Tomatoes - Plum, Canned",47.64
220,Crackers - Graham,35.06
221,"Pork - Tenderloin, Frozen",99.25
222,Flower - Leather Leaf Fern,16.71
223,Long Island Ice Tea,37.63
224,Asparagus - Mexican,16.38
225,Longan,60.01
226,Mace Ground,91.48
227,Sauce - Demi Glace,85.19
228,Roe - Flying Fish,23.09
229,Cookies - Amaretto,22.32
230,Cranberry Foccacia,96.19
231,Longos - Chicken Wings,85.75
232,Pail For Lid 1537,29.47
233,Nantucket - Kiwi Berry Cktl.,14.06
234,Coffee Cup 16oz Foam,7.94
235,"Radish - Black, Winter, Organic",56.98
236,Pastry - Baked Cinnamon Stick,26.6
237,Lamb - Loin Chops,9.49
238,Beer - Blue Light,53.12
239,Wine - Sauvignon Blanc Oyster,45.69
240,"Stock - Veal, Brown",15.29
241,Chips Potato All Dressed - 43g,33.19
242,Muffin Batt - Blueberry Passion,24.64
243,Cheese Cheddar Processed,42.06
244,Peach - Halves,95.45
245,Parsnip,56.47
246,Laundry - Bag Cloth,27.07
247,Beef - Tenderloin,11.02
248,"Lettuce - Mini Greens, Whole",98.01
249,Nectarines,98.72
250,Wine La Vielle Ferme Cote Du,84.18
251,Beets - Golden,60.13
252,Roe - White Fish,37.41
253,Dried Peach,61.75
254,Broom - Corn,6.88
255,"Soup - Canadian Pea, Dry Mix",32.37
256,Bacardi Raspberry,49.17
257,Beer - Mill St Organic,32.58
258,Bread - Raisin Walnut Oval,6.43
259,Mousse - Mango,89.93
260,Oil - Canola,46.51
261,Anchovy In Oil,80.93
262,Jam - Raspberry,35.92
263,"Pasta - Penne, Rigate, Dry",30.67
264,Water - Green Tea Refresher,25.24
265,"Juice - Tomato, 10 Oz",1.86
266,Tequila - Sauza Silver,40.65
267,Sausage - Breakfast,88.5
268,Currants,44.78
269,Squid Ink,22.36
270,Bar Bran Honey Nut,72.76
271,Baking Powder,53.58
272,Sponge Cake Mix - Vanilla,83.84
273,Icecream - Dibs,71.96
274,Beef - Rib Eye Aaa,69.35
275,Cheese - Mascarpone,5.76
276,"Veal - Inside, Choice",4.46
277,Bread Base - Italian,95.31
278,Raisin - Dark,44.9
279,Pop Shoppe Cream Soda,45.67
280,Monkfish Fresh - Skin Off,22.3
281,Syrup - Monin - Granny Smith,44.71
282,Sachet,80.24
283,Veal - Kidney,67.79
284,Milk - Buttermilk,83.95
285,"Vinegar - Balsamic, White",14.46
286,Bread - Raisin Walnut Oval,40.9
287,"Beef - Tenderlion, Center Cut",62.22
